Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-06-27,26,26,21.99,22,51964
2011-06-28,22,22,19.5,21.7,7713
2011-06-29,21.1,23.15,19.75,23.01,15834
2011-06-30,23.01,23.34,22,23,10864
2011-07-01,23.28,23.29,21.8,22.99,1193
2011-07-04,23,23,21.5,22,2701
2011-07-05,21.81,22.1,20.5,20.52,2931
2011-07-06,21.78,21.78,20.52,21.6,973
2011-07-07,20,21.8,20,21.8,2269
2011-07-08,21.48,21.8,20.2,21,14221
2011-07-11,20.1,21.29,20.1,20.3,1253
2011-07-12,21,21,19.3,20,4693
2011-07-13,20.2,20.95,19.25,20,2078
2011-07-14,20,20.69,20,20.38,1379
2011-07-15,20.7,20.7,20,20.41,735
2011-07-18,20.49,20.49,18,20,1240
2011-07-19,21.3,21.3,18.5,20,611
2011-07-20,20,20,19,19,108
2011-07-21,19.99,19.99,18.81,19.4,1014
2011-07-22,19.89,21.4,19.7,20.8,5529
2011-07-25,21.2,21.8,21,21.7,3376
2011-07-26,21,21.7,21,21,722
2011-07-27,20.01,21.6,19.5,19.6,1541
2011-07-28,20.5,21.7,19.01,21.69,2739
2011-07-29,21,21.69,20.02,21.69,1970
2011-08-01,21.69,22.5,21.69,22.49,652
2011-08-02,22.5,23.2,21.7,21.7,5152
2011-08-03,21,22,19.7,20.99,1961
2011-08-04,22,22,19,21.95,2891
2011-08-05,20.5,22.5,19.5,22,5652
2011-08-08,22.51,22.85,19.7,21,4587
2011-08-09,22.49,22.49,19.5,20.3,5560
2011-08-10,20.2,20.5,19.2,20,1156
2011-08-11,19.5,22.44,19.5,21.94,13642
2011-08-12,21.93,22.38,21.62,22.31,1027
2011-08-16,21,22,21,22,1514
2011-08-17,22,22,20.8,21.89,1022
2011-08-18,21.95,21.95,19.57,21.49,1836
2011-08-19,21.49,21.49,19.34,21.48,2495
2011-08-22,21.45,21.45,20.5,21.44,1110
2011-08-23,21.44,21.44,19.47,21.35,3948
2011-08-24,21,22.8,19.8,22.8,10371
2011-08-25,21.54,22,21.51,21.6,1211
2011-08-26,22.11,22.11,19.51,21.4,8610
2011-08-29,20.11,21.75,20.11,21.75,303
2011-08-30,21.69,21.69,20.5,21.3,1399
2011-08-31,21.3,21.5,20.99,21.5,5445
2011-09-01,21.48,21.48,21.48,21.48,280
2011-09-02,21,21.43,21,21.43,135
2011-09-05,20.55,21.09,19.78,21.09,2252
2011-09-06,21,21,19.9,20.49,1848
2011-09-07,20.49,21.08,19.86,19.86,306
2011-09-08,20.9,20.9,20.9,20.9,350
2011-09-09,20.99,20.99,19.01,19.01,1922
2011-09-12,20.19,20.19,19,19,78
2011-09-13,19.99,19.99,18,19,792
2011-09-14,19.5,19.99,18,19.99,1038
2011-09-15,19.9,19.9,19.2,19.9,54
2011-09-16,19.99,19.99,18.7,19.9,208
2011-09-19,19.99,19.99,18.5,19.5,553
2011-09-20,19.99,19.99,19.2,19.2,157
2011-09-21,19.99,19.99,19.99,19.99,1
2011-09-22,19.98,19.98,18.4,19.4,656
2011-09-23,19,19.4,17.51,19.38,580
2011-09-26,19.39,19.39,18.4,18.4,52
2011-09-27,19.39,19.4,18.5,19.4,331
2011-09-28,18.01,18.9,18.01,18.9,140
2011-09-29,19.39,19.39,18.2,19,176
2011-09-30,19,19,18,18.8,180
2011-10-03,17.9,18.4,17.5,18.4,290
2011-10-04,18.4,18.4,16.7,17.45,376
2011-10-05,16.7,17.2,14,17.2,753
2011-10-06,17.25,17.5,17,17.45,707
2011-10-07,17.59,19.2,16.7,18.2,1028
2011-10-10,19.1,19.1,17.5,18.15,542
2011-10-11,18,18.19,17.3,18.19,486
2011-10-12,18.69,18.69,18.69,18.69,1
2011-10-13,18.5,18.5,18.5,18.5,1
2011-10-14,19.5,19.5,19.49,19.49,7
2011-10-17,19.79,19.79,18,19.5,515
2011-10-18,19.77,19.77,18.8,19.5,266
2011-10-19,19.6,19.6,19.5,19.55,224
2011-10-20,19.6,19.6,19.6,19.6,5
2011-10-21,19.6,19.6,18.7,19.6,812
2011-10-24,19.8,19.8,19.8,19.8,2
2011-10-25,19.79,19.8,18.3,19.8,954
2011-10-26,20,20.75,19.35,19.8,4090
2011-10-27,20.5,22.5,19,19.9,16404
2011-10-28,20,20.7,20,20.7,3246
2011-10-31,20.8,20.88,20.11,20.88,1170
2011-11-02,20,20.5,20,20.5,914
2011-11-03,20,20.75,20,20.75,630
2011-11-04,20.75,20.8,20.02,20.8,326
2011-11-07,20,20.7,20,20.15,1107
2011-11-08,20.8,21.5,20.15,21,1922
2011-11-09,20.57,21.84,20.57,21.21,5616
2011-11-10,21.9,21.9,20.5,21.4,819
2011-11-14,21.67,21.67,20.1,21.09,804
2011-11-15,21,21.35,21,21.35,306
2011-11-16,20.8,21.34,20.8,21.33,404
2011-11-17,21.33,21.34,20.6,21,477
2011-11-18,20.61,21,20.61,21,196
2011-11-21,21,21.44,20.5,20.5,2742
2011-11-22,20.68,21.21,20.68,20.85,80
2011-11-23,20.88,21.18,20.88,21.17,315
2011-11-24,20.89,21.15,20.89,21.15,141
2011-11-25,21.15,21.15,20.34,21.14,1012
2011-11-28,21.15,21.15,20,21,573
2011-11-29,21,21,19.8,21,1452
2011-11-30,21,21.1,20.12,20.7,1629
2011-12-01,20.7,20.7,20.7,20.7,834
2011-12-02,21.1,21.2,21.1,21.2,899
2011-12-05,21,21.4,21,21,1573
2011-12-06,21,21.33,21,21.33,476
2011-12-07,20.74,21.33,20.74,21.32,1308
2011-12-08,21,21.22,21,21.22,2
2011-12-09,21,21,21,21,2
2011-12-12,21.2,21.2,21.2,21.2,1
2011-12-13,21,21.22,21,21,1591
2011-12-14,21.22,21.24,20.4,20.5,1622
2011-12-15,21,21,20,20.59,450
2011-12-16,20.6,20.6,19.95,20.59,213
2011-12-19,20.6,20.6,19.7,20.5,224
2011-12-20,20.6,20.6,18.75,20.39,276
2011-12-21,20.6,20.85,19.61,20.85,106
2011-12-22,20.2,20.87,19.2,20.87,1728
2011-12-23,21,21,20.87,20.87,4196
2011-12-27,19.95,20.49,19.95,20.49,2116
2011-12-28,20.7,20.7,20.7,20.7,1
2011-12-29,21,21,21,21,2
2011-12-30,20.5,20.5,20.5,20.5,5
2012-01-02,19.8,19.8,19.7,19.7,121
2012-01-03,20.2,20.2,20.2,20.2,1
2012-01-04,20,20,19.5,19.5,110
2012-01-05,20.2,20.2,17.3,19.8,467
2012-01-09,20.2,20.2,19.15,19.15,306
2012-01-10,20.15,20.15,18.5,20,403
2012-01-11,20.1,20.1,16,19,826
2012-01-12,19.3,19.3,19,19,301
2012-01-13,19.3,19.5,19.2,19.5,301
2012-01-16,19.5,19.5,16,19.49,603
2012-01-17,19.3,19.3,19.3,19.3,2
2012-01-18,19.29,19.29,18.4,19,321
2012-01-19,18.99,19.25,18.4,19.25,223
2012-01-20,19.25,19.25,18.3,19.25,203
2012-01-23,19.9,20.25,19.4,19.5,4918
2012-01-24,19.89,19.9,19.2,19.6,1629
2012-01-25,19.8,19.8,19.12,19.8,102
2012-01-26,19.8,19.9,19,19.9,930
2012-01-27,19.9,20.5,19.5,20,4867
2012-01-30,20.34,20.34,19.01,20,167
2012-01-31,20.33,20.33,20,20.33,153
2012-02-01,20.31,20.33,20.1,20.33,2206
2012-02-02,20.29,20.29,20.1,20.2,1202
2012-02-03,20.2,20.2,19,19.99,1241
2012-02-06,19.99,19.99,17,19.49,755
2012-02-07,19,19.5,18,19.5,2894
2012-02-08,19.5,19.5,18.6,19.3,56
2012-02-09,19.5,19.5,18.9,18.9,161
2012-02-10,19.49,19.49,19.49,19.49,2
2012-02-13,19.48,19.48,18.2,19.09,369
2012-02-14,19.43,19.43,19.43,19.43,2
2012-02-15,19.42,19.42,18.25,18.98,823
2012-02-16,19.35,19.35,18.26,18.35,1786
2012-02-17,19.33,19.5,19.33,19.5,3447
2012-02-20,19.5,19.96,18.65,19.9,9296
2012-02-21,19.97,21.9,19.45,20.89,19190
2012-02-22,20.96,21,20.1,20.33,7526
2012-02-23,20.5,20.5,19.8,20.18,2127
2012-02-24,20.39,20.39,19.55,19.55,331
2012-02-27,20.28,20.28,19,19,3366
2012-02-28,19.93,19.97,19.92,19.97,623
2012-02-29,19.95,19.95,19.95,19.95,140
2012-03-01,19.94,19.94,19.04,19.8,394
2012-03-02,19.8,19.8,19,19.8,806
2012-03-05,19.68,19.69,19.68,19.69,102
2012-03-06,19.6,19.6,19.6,19.6,2
2012-03-07,19.77,19.77,18.91,19.59,256
2012-03-08,19.59,19.59,18.9,19.56,805
2012-03-09,19.55,19.55,18.55,18.61,1764
2012-03-12,18.99,18.99,18.5,18.5,438
2012-03-13,18.99,18.99,18.99,18.99,1
2012-03-14,18.99,18.99,18.2,18.2,278
2012-03-15,18.99,18.99,18.99,18.99,5
2012-03-16,18.8,18.8,18.8,18.8,2
2012-03-19,19,19,19,19,20
2012-03-20,18.94,18.94,18,18.9,1103
2012-03-21,18.79,18.79,18.79,18.79,50
2012-03-22,18.79,18.79,18.1,18.5,156
2012-03-23,18.1,18.79,17.9,18.49,789
2012-03-26,18.49,18.49,17.91,18.49,921
2012-03-27,17.6,18.3,17.6,18.3,620
2012-03-28,18.44,18.44,17.41,18.15,591
2012-03-29,18.14,18.14,18.14,18.14,2
2012-03-30,18.15,18.15,18.15,18.15,45
2012-04-02,18.14,18.15,17.15,18,348
2012-04-03,18,18,16.1,16.5,1443
2012-04-04,17.14,17.15,16.56,17.14,136
2012-04-05,17.05,17.05,16.99,16.99,1132
2012-04-10,17.05,17.05,15.9,15.9,2222
2012-04-11,16.98,16.98,13.6,13.96,5986
2012-04-12,14.75,14.75,14,14,3191
2012-04-13,14,14.2,12.5,14.2,2577
2012-04-16,13.3,13.8,13.3,13.8,101
2012-04-17,13.2,13.4,13.2,13.4,306
2012-04-18,13.36,13.36,12,12,1370
2012-04-19,12.23,12.58,12.2,12.2,993
2012-04-20,12.1,12.1,11.43,11.85,2325
2012-04-23,11.99,11.99,9.5,9.9,4517
2012-04-24,9.9,10.3,9.9,10,1086
2012-04-25,10.5,11,10.4,11,1202
2012-04-26,11.5,11.5,11.5,11.5,101
2012-04-27,11.54,11.54,11.44,11.44,63
2012-04-30,11.45,11.45,9.42,11,2696
2012-05-02,10.5,11,10.5,11,240
2012-05-04,11,11,11,11,1
2012-05-07,10.42,10.42,10.42,10.42,240
2012-05-08,10.5,10.5,10.2,10.4,209
2012-05-10,10.4,11,10.4,10.85,981
2012-05-11,10.85,10.85,10.85,10.85,2
2012-05-14,10.38,10.5,10,10.2,467
2012-05-15,10,10.2,10,10.2,167
2012-05-16,9.72,9.9,9.15,9.6,1536
2012-05-17,9.25,9.4,8.87,9.4,999
2012-05-18,8.86,9.2,8.02,8.9,1911
2012-05-22,8.15,9,8.14,9,486
2012-05-23,9,9.5,8,9.4,2015
2012-05-24,9.5,9.5,9.5,9.5,1
2012-05-29,9.59,9.59,9,9.59,21
2012-05-31,10.48,10.48,10.48,10.48,10
2012-06-04,11,11,11,11,2
2012-06-06,11,11,10.5,10.5,7
2012-06-08,10.5,10.5,10.5,10.5,143
2012-06-11,10.5,10.5,10.5,10.5,50
2012-06-12,10.2,10.5,10.2,10.5,212
2012-06-13,10.5,10.5,10.5,10.5,2
2012-06-14,10.5,10.5,10.5,10.5,2
2012-06-15,10.5,10.5,10.5,10.5,2
2012-06-18,10.5,10.5,10.5,10.5,2
2012-06-19,10.5,10.5,10.5,10.5,2
2012-06-20,10.5,10.5,10.5,10.5,90
2012-06-26,10.5,10.5,10.5,10.5,2
2012-06-27,10.5,10.5,10.5,10.5,2
2012-06-28,10.5,10.5,10.5,10.5,52
2012-06-29,10.5,10.5,10.5,10.5,2
2012-07-02,8.45,10,8.45,10,1378
2012-07-03,9.94,9.94,9.9,9.9,7
2012-07-04,9.8,9.8,9.8,9.8,1
2012-07-06,9.55,9.55,9.29,9.29,190
2012-07-11,9,9.34,8.5,9.34,568
2012-07-12,9.43,9.43,8,9,1581
2012-07-13,9.35,9.35,9.35,9.35,5
2012-07-18,9.26,9.26,8.5,9.16,37
2012-07-20,7.9,9.35,7.9,8.2,683
2012-07-23,8,8,8,8,200
2012-07-24,7.99,7.99,7.99,7.99,2
2012-07-25,7.99,7.99,7.99,7.99,2
2012-07-26,7.5,7.5,7.1,7.5,998
2012-07-27,7.1,7.3,7.1,7.3,156
2012-07-30,7.4,7.4,7.1,7.4,49
2012-08-01,6.89,7.55,6.89,7.55,434
2012-08-03,6.89,6.95,6.47,6.85,1031
2012-08-06,6.47,6.95,6.47,6.95,242
2012-08-07,6.53,6.53,6.09,6.53,238
2012-08-08,6.7,6.7,6.7,6.7,2
2012-08-09,6.69,6.69,6.69,6.69,301
2012-08-10,6.7,6.7,5.95,6.39,907
2012-08-13,5.7,5.7,5.12,5.49,1465
2012-08-14,5.5,5.5,5.5,5.5,2
2012-08-16,5.6,5.6,5.22,5.49,61
2012-08-21,5.11,5.47,5,5.47,2039
2012-08-22,5,5.47,5,5.47,202
2012-08-24,5,5.47,4.6,5.47,1088
2012-08-27,4.75,4.97,4.5,4.97,2296
2012-08-28,4.97,4.97,4.97,4.97,2
2012-08-29,4.66,4.66,4.66,4.66,323
2012-08-30,4.69,4.72,4.39,4.72,480
2012-08-31,4.15,4.19,4.07,4.15,1585
2012-09-03,4.18,4.18,4,4.18,828
2012-09-05,3.74,4.11,3.6,4.11,1423
2012-09-06,4.03,4.93,4.03,4.88,3300
2012-09-07,5.13,5.14,4.79,4.79,904
2012-09-10,4.93,5.47,4.93,5.47,330
2012-09-11,5.47,6.28,5.47,6.28,3286
2012-09-12,6.3,6.3,6,6.28,2215
2012-09-13,6.28,6.28,5.15,5.57,2164
