Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-22,132.00031343038,132.00031343038,113.99960820683,119.90024999777,8825
2021-12-23,122.49973880369,146.99968656442,120.00019029627,142.78033208689,8316
2021-12-27,149.99997760914,149.99997760914,126.09967163944,139.00029850487,2579
2021-12-28,129.49972387818,135.90006716165,125.00032835588,135.90006716165,935
2021-12-29,134.00016044526,134.00016044526,123.00048134099,127.00017537077,904
2021-12-30,127.00017537077,129.00002238566,127.00017537077,127.99957835582,230
2022-01-03,130.00046641549,132.59995522141,120.00019029627,132.59995522141,654
2022-01-04,130.99986940054,130.99986940054,125.10026865438,130.00046641549,170
2022-01-05,129.7995447737,138.49955596757,129.7995447737,138.49955596757,210
2022-01-07,134.00016044526,137.00045148998,129.00002238566,133.98038059452,100
2022-01-10,130.00046641549,132.00031343038,129.89948507221,130.00046641549,302
2022-01-11,130.00046641549,130.10040671399,129.00002238566,129.00002238566,188
2022-01-12,127.69975746031,128.98024253491,125.00032835588,128.98024253491,244
2022-01-13,129.00002238566,134.00016044526,129.00002238566,130.00046641549,108
2022-01-14,130.99986940054,131.49957089307,127.00017537077,129.7995447737,149
2022-01-17,127.20005596778,128.80014178864,125.20020895289,128.80014178864,102
2022-01-18,127.99957835582,127.99957835582,122.00003731116,127.00017537077,304
2022-01-19,123.00048134099,124.90038805737,120.4998917888,124.90038805737,245
2022-01-20,120.99959328133,127.99957835582,120.00019029627,127.99957835582,772
2022-01-21,124.49958581858,126.90023507226,123.00048134099,126.90023507226,162
2022-01-24,123.50018283352,123.50018283352,111.99976119194,119.50048880374,554
2022-01-25,119.50048880374,119.50048880374,113.20008581879,119.29956716196,574
2022-01-26,118.99974626644,118.99974626644,113.3999664158,118.97996641569,116
2022-01-27,120.89965298282,123.1004216395,116.99989925155,123.1004216395,130
2022-01-28,123.1004216395,130.00046641549,120.00019029627,124.59952611708,1474
2022-01-31,124.59952611708,127.29999626628,120.99959328133,126.88045522152,438
2022-02-01,126.88045522152,132.00031343038,106.11994029653,132.00031343038,941
2022-02-02,122.19991790817,134.99956343032,122.19991790817,134.96000372883,234
2022-02-03,132.00031343038,155.00011566875,132.00031343038,149.9801977584,2714
2022-02-04,148.7996529823,149.99997760914,148.00013059426,148.00013059426,457
2022-02-07,148.00013059426,151.99982462403,148.00013059426,149.99997760914,286
2022-02-08,150.49967910167,150.49967910167,144.00043656448,148.00013059426,63
2022-02-09,148.00013059426,148.00013059426,148.00013059426,148.00013059426,1
2022-02-10,147.50042910173,148.00013059426,147.40048880322,148.00013059426,316
2022-02-11,148.00013059426,148.00013059426,146.99968656442,146.99968656442,86
2022-02-14,137.00045148998,137.00045148998,129.00002238566,134.00016044526,243
2022-02-15,130.00046641549,136.90051119148,129.00002238566,136.90051119148,84
2022-02-16,136.90051119148,136.90051119148,136.90051119148,136.90051119148,81
2022-02-17,132.00031343038,132.00031343038,130.00046641549,130.00046641549,273
2022-02-18,132.00031343038,134.89962313181,127.99957835582,127.99957835582,146
2022-02-21,130.00046641549,134.89962313181,122.29985820668,131.83999253486,295
2022-02-22,127.00017537077,139.99970148993,120.00019029627,139.99970148993,1540
2022-02-23,139.79982089292,139.79982089292,130.00046641549,132.00031343038,35
2022-02-24,124.01966417679,124.01966417679,106.20010074429,116.00049626649,1139
2022-02-25,118.00034328138,125.00032835588,118.00034328138,125.00032835588,40
2022-02-28,115.00005223666,123.00048134099,115.00005223666,123.00048134099,16
2022-03-01,123.99988432605,127.00017537077,123.99988432605,127.00017537077,67
2022-03-02,127.00017537077,127.99957835582,127.00017537077,127.99957835582,25
2022-03-03,127.99957835582,137.99985447504,127.99957835582,129.00002238566,183
